city_source_id,geoname_id,latitude,longitude
1000003001104,113636,34.69307,50.01601
1000007002774,1114244,30.9127,61.6672
1000006001111,133439,35.10862,49.83181
1000006002137,122071,35.12929,49.70908
1000005001107,122667,34.0111,50.8379
1000007001113,142567,33.93132,49.40629
1000007002380,131551,33.77952,49.23115
10000012002073,6746969,34.2571,49.3234
1000009001115,125438,33.91108,50.45317
10000010002378,118626,35.3296,49.95336
10000010001109,6657461,35.30454,50.49934
10000011001102,126715,34.72142,49.32653
10000013002136,134788,34.50383,49.68437
10000013002773,127394,34.75638,49.53208
1010001001117,142676,38.43084,48.86994
1010001002583,125790,38.30954,48.87244
1010002001118,126952,37.42047,49.94692
1010002001119,142679,37.26318,49.94325
1010003001120,141679,37.47318,49.45785
1010004002381,37184,37.95646,48.90811
1010006001133,124967,36.74445,49.40082
1010004002584,38003,38.14834,48.89133
1010005001127,126435,37.27818,49.77169
1010005001128,125826,37.36124,49.86108
1010005001007,121100,37.3435,49.54807
1010009001142,134441,37.224,49.3125
1010009001143,124588,37.15497,48.98982
1010009002804,125212,37.1894,49.1887
10100010002076,121638,37.26822,50.21412
1010005001129,118743,37.27611,49.58862
1010005001125,127289,37.37389,49.75842
1010006002229,112439,36.89316,49.52739
1010007001135,139784,36.97372,50.5701
1010007001138,129543,37.07961,50.39642
1010008001140,113860,37.30134,49.31504
1010008002328,132647,37.29325,49.23756
1010008001058,113597,37.38337,49.22692
1010008001059,111058,37.4261,49.2459
10100010002385,121774,37.10932,50.11378
10100010001144,126267,37.15495,50.17357
10100011002386,118232,37.25626,50.00772
10100012002387,37382,37.1306,49.36521
10100013002519,7621934,37.049,50.237
10100013001134,143539,37.0966,50.18709
10100014001121,400751,37.60041,49.07127
10100016002510,69018,37.40524,49.11934
10100017001126,127415,37.39016,49.65846
10100017001060,138320,37.38249,49.61476
1020001001149,143534,36.46961,52.35072
1020001002586,13535724,36.47982,52.45056
1020002002391,124701,36.36512,52.73439
1020004001158,140918,36.69235,53.55262
1020005001100,114242,36.85035,50.80322
1020005001161,112656,36.81626,50.87376
1020005001166,122560,36.7509,51.02362
1020006001167,117773,36.91796,50.64802
1020008001170,144270,36.06676,52.83713
1020008001171,120936,36.11787,53.05531
10200016002393,140926,36.66822,52.76171
10200014002119,8839,36.47822,52.11835
10200015002713,120814,36.39511,51.59376
10200015002779,126853,36.384,51.7286
10200016001151,142358,36.69929,52.65011
10200016002394,35017,38.8479,45.6623
10200019001160,122397,36.65079,53.29905
10200020001190,139223,36.655,51.4204
10200021002397,385068,36.68916,52.91333
10200021001175,129933,36.64088,52.91206
10200023001152,134602,36.68489,52.51917
10200025002931,385216,36.76125,53.20371
10200028001191,8781,36.51094,51.17343
1030002001200,144616,38.4774,47.0699
1030003001214,113646,38.08,46.2919
1030003001067,135326,37.9928,46.11
1030005002330,115447,37.8817,47.1012
1030005002399,135555,37.9497,47.1199
1030003001213,141111,37.9958,46.4748
1030007001227,110920,38.588,45.8302
1030007001026,136128,38.4669,45.6176
1030007002143,126501,38.45838,45.56708
10300011001234,142554,37.4779,47.0508
10300011002590,23261,37.3467,46.7627
10300015001199,129201,38.86509,47.03909
10300014001209,127989,38.1934,45.6309
10300014001210,116126,38.1804,45.7028
10300014001211,136125,38.17706,45.48815
10300014002544,126056,38.1911,45.5795
10300014002946,137757,35.1397,46.318
10300014001208,113072,38.31625,45.35953
10300016002230,141857,38.1325,46.946
10300019002497,114416,38.86921,46.00241
10300019001225,130081,38.93788,45.63329
10300019001226,35017,38.8479,45.6623
10300022001204,121781,37.91504,46.12258
10300021001201,6686970,37.759,45.9783
10300025001222,144443,37.4776,45.8943
10300025002843,17934,37.4968,45.9733
